idna_subject,checker_type,destination,tested_at
www.adshost2.com,AVAILABILITY,domains.list,2023-12-01 02:32:00.923217
cdn.directtrk.com,AVAILABILITY,domains.list,2023-12-01 02:32:01.237144
cdn.adbrau.com,AVAILABILITY,domains.list,2023-12-01 02:32:01.524968
dsp.adledge.com,AVAILABILITY,domains.list,2023-12-01 02:32:01.820557
ad.adtoma.com,AVAILABILITY,domains.list,2023-12-01 02:32:02.125417
ad.yieldmanager.com,AVAILABILITY,domains.list,2023-12-01 02:32:02.637319
eu2.madsone.com,AVAILABILITY,domains.list,2023-12-01 02:32:03.000437
m.admob.com,AVAILABILITY,domains.list,2023-12-01 02:32:04.493508
www.adcash.com,AVAILABILITY,domains.list,2023-12-01 02:32:04.893283
www.burstnet.com,AVAILABILITY,domains.list,2023-12-01 02:32:07.404305
www.clickterra.net,AVAILABILITY,domains.list,2023-12-01 02:32:08.077794
www.outbrain.com,AVAILABILITY,domains.list,2023-12-01 02:32:08.846281
www.smartadserver.com,AVAILABILITY,domains.list,2023-12-01 02:32:11.311410
www.yllix.com,AVAILABILITY,domains.list,2023-12-01 02:32:13.529713
mv.ad.naver.com,AVAILABILITY,domains.list,2023-12-01 02:32:14.075784
ad.adxcore.com,AVAILABILITY,domains.list,2023-12-01 02:32:14.407664
cdn.cpsoft86.com,AVAILABILITY,domains.list,2023-12-01 02:32:14.841205
i.w.sandbox.inmobi.com,AVAILABILITY,domains.list,2023-12-01 02:32:15.140862
cdn.castplatform.com,AVAILABILITY,domains.list,2023-12-01 02:32:15.805270
img-cdn.mediaplex.com,AVAILABILITY,domains.list,2023-12-01 02:32:16.129351
i.tapit.com,AVAILABILITY,domains.list,2023-12-01 02:32:16.449957
img.adinte.jp,AVAILABILITY,domains.list,2023-12-01 02:32:16.929254
leadback.advertising.com,AVAILABILITY,domains.list,2023-12-01 02:32:17.222763
ma.inmobi.com,AVAILABILITY,domains.list,2023-12-01 02:32:17.548637
kona.kontera.com,AVAILABILITY,domains.list,2023-12-01 02:32:17.858723
max.crwd.io,AVAILABILITY,domains.list,2023-12-01 02:32:18.189767
i.ad-v.jp,AVAILABILITY,domains.list,2023-12-01 02:32:18.538185
mads.at.atwola.com,AVAILABILITY,domains.list,2023-12-01 02:32:18.835475
ns2.backbeatmedia.com,AVAILABILITY,domains.list,2023-12-01 02:32:19.166267
ox-d.wuv.servedbyopenx.com,AVAILABILITY,domains.list,2023-12-01 02:32:19.475615
pds.directrev.com,AVAILABILITY,domains.list,2023-12-01 02:32:19.910450
pixel.redditmedia.com,AVAILABILITY,domains.list,2023-12-01 02:32:20.301499
