subject,idna_subject,expiration_date,epoch,registrar
buysellads.com,buysellads.com,02-nov-2027,1825113600.0,
buysellads.com,buysellads.com,02-nov-2027,1825113600.0,
exponential.com,exponential.com,10-oct-2028,1854748800.0,
exponential.com,exponential.com,10-oct-2028,1854748800.0,
888media.net,888media.net,23-jul-2026,1784764800.0,"NameCheap, Inc."
admob.biz,admob.biz,21-jun-2026,1782000000.0,"MarkMonitor, Inc."
admob.co.kr,admob.co.kr,26-jun-2026,1782432000.0,Whois Corp.(http://whois.co.kr)
admob.dk,admob.dk,31-jul-2026,1785456000.0,MarkMonitor Inc.
admob.fi,admob.fi,15-jul-2026,1784073600.0,MarkMonitor Inc.
admob.it,admob.it,23-apr-2026,1776902400.0,
admob.kr,admob.kr,26-jun-2026,1782432000.0,Whois Corp.(http://whois.co.kr)
admob.sg,admob.sg,25-jun-2026,1782345600.0,MarkMonitor Inc.
adzerk.net,adzerk.net,12-may-2033,1999468800.0,"NameCheap, Inc."
amung.us,amung.us,17-mar-2027,1805241600.0,"GoDaddy.com, LLC"
api9.net,api9.net,30-may-2026,1780099200.0,"NameSilo, LLC"
crwdcntrl.net,crwdcntrl.net,21-nov-2026,1795219200.0,"GoDaddy.com, LLC"
mediaplex.fr,mediaplex.fr,13-jun-2026,1781308800.0,OVH
onclickads.net,onclickads.net,03-jun-2026,1780444800.0,"URL Solutions, Inc."
rmbn.net,rmbn.net,14-may-2026,1778716800.0,"Cloudflare, Inc."
etarg.ru,etarg.ru,13-oct-2026,1791849600.0,REGRU-RU
admob.co.uk,admob.co.uk,01-jan-2027,1798761600.0,
doubleclick.net,doubleclick.net,17-jan-2027,1800144000.0,MarkMonitor Inc.
smartadserver.fr,smartadserver.fr,26-jan-2027,1800921600.0,SAFEBRANDS
