idna_subject,checker_type,destination,source,tested_at,session_id
1app.blob.core.windows.net,AVAILABILITY,domains.list,domains.list,2024-08-25 06:04:31.768189,2f2993d8631b943437de6f72
29773.v.fwmrm.net,AVAILABILITY,domains.list,domains.list,2024-08-25 06:04:37.182375,2f2993d8631b943437de6f72
888casino.com,AVAILABILITY,domains.list,domains.list,2024-08-25 06:04:41.722612,2f2993d8631b943437de6f72
888media.net,AVAILABILITY,domains.list,domains.list,2024-08-25 06:04:42.329495,2f2993d8631b943437de6f72
a.ad-sys.com,AVAILABILITY,domains.list,domains.list,2024-08-25 06:04:42.736886,2f2993d8631b943437de6f72
a.adnium.com,AVAILABILITY,domains.list,domains.list,2024-08-25 06:04:43.095152,2f2993d8631b943437de6f72
a.adorika.net,AVAILABILITY,domains.list,domains.list,2024-08-25 06:04:45.182769,2f2993d8631b943437de6f72
a.adroll.com,AVAILABILITY,domains.list,domains.list,2024-08-25 06:04:45.697135,2f2993d8631b943437de6f72
a.adtech.de,AVAILABILITY,domains.list,domains.list,2024-08-25 06:04:46.053842,2f2993d8631b943437de6f72
a.goember.com,AVAILABILITY,domains.list,domains.list,2024-08-25 06:04:47.443630,2f2993d8631b943437de6f72
a.kat.cr,AVAILABILITY,domains.list,domains.list,2024-08-25 06:04:48.699125,2f2993d8631b943437de6f72
a.ligatus.com,AVAILABILITY,domains.list,domains.list,2024-08-25 06:04:49.876262,2f2993d8631b943437de6f72
a.scorecardresearch.com,AVAILABILITY,domains.list,domains.list,2024-08-25 06:04:50.479701,2f2993d8631b943437de6f72
a.tribalfusion.com,AVAILABILITY,domains.list,domains.list,2024-08-25 06:04:50.706407,2f2993d8631b943437de6f72
a02.korrelate.net,AVAILABILITY,domains.list,domains.list,2024-08-25 06:04:51.144110,2f2993d8631b943437de6f72
aan.amazon.com,AVAILABILITY,domains.list,domains.list,2024-08-25 06:04:51.720803,2f2993d8631b943437de6f72
