# Generated by PyFunceble (v4.3.0.dev) / https://pyfunceble.github.io
# Date of generation: 2025-12-03T11:18:31.391495+00:00

Registrar                      Percentage   Amount      
------------------------------ ------------ ------------
MarkMonitor Inc.               19%          8           
GoDaddy.com, LLC               10%          4           
NameCheap, Inc.                10%          4           
Whois Corp.(http://whois.co.kr) 10%          4           
Cloudflare, Inc.               5%           2           
Key-Systems GmbH               5%           2           
MARKMONITOR Inc.               5%           2           
MarkMonitor, Inc.              5%           2           
MarkMonitor. Inc               5%           2           
Markmonitor, Inc.              5%           2           
NameSilo, LLC                  5%           2           
OVH                            5%           2           
REGRU-RU                       5%           2           
SAFEBRANDS                     5%           2           
URL Solutions, Inc.            5%           2           
MarkMonitor Inc.               19%          8           
GoDaddy.com, LLC               10%          4           
NameCheap, Inc.                10%          4           
Whois Corp.(http://whois.co.kr) 10%          4           
Cloudflare, Inc.               5%           2           
Key-Systems GmbH               5%           2           
MARKMONITOR Inc.               5%           2           
MarkMonitor, Inc.              5%           2           
MarkMonitor. Inc               5%           2           
Markmonitor, Inc.              5%           2           
NameSilo, LLC                  5%           2           
OVH                            5%           2           
REGRU-RU                       5%           2           
SAFEBRANDS                     5%           2           
URL Solutions, Inc.            5%           2           
